X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,E,O,O,O,O,O,O,O,O,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X
X,O,O,O,O,O,O,O,O,O,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X
X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X
X,O,O,O,P,O,O,O,O,O,O,O,O,O,O,P,P,P,P,P,P,P,P,O,O,P,P,P,P,P,O,O,O,X
X,O,O,O,P,O,O,O,P,P,P,O,O,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X
X,O,O,O,P,O,O,O,O,O,P,O,O,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X
X,O,O,O,P,O,O,O,O,O,P,O,O,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X
X,O,O,O,P,P,O,O,O,O,P,O,O,O,O,P,O,O,P,P,P,P,P,O,O,P,P,P,P,P,O,O,O,X
X,O,O,O,O,O,O,O,O,O,P,O,O,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X
X,O,O,O,O,O,O,O,O,O,P,O,O,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X
X,O,O,O,P,P,P,P,P,P,P,P,O,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X
X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,P,O,O,P,P,P,P,P,O,O,P,P,P,P,P,O,O,O,X
X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,P,O,O,O,O,O,O,P,O,O,O,O,O,O,O,O,O,O,X
X,O,O,O,O,O,O,O,O,O,P,O,O,O,O,P,O,O,O,O,O,O,P,O,O,O,O,O,O,O,O,O,O,X
X,O,O,P,P,P,P,O,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,P,O,O,O,O,O,X
X,O,O,O,O,P,O,O,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,P,O,O,O,O,O,X
X,O,O,O,O,P,O,O,O,O,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,O,O,O,O,X
X,O,O,O,O,P,O,O,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X
X,O,O,O,O,P,O,O,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X
X,O,O,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,P,P,P,P,P,O,O,O,P,O,O,O,O,O,X
X,P,P,O,O,P,O,O,O,O,O,O,O,O,O,P,P,P,P,P,O,O,O,P,O,O,O,P,O,O,O,O,O,X
X,O,P,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,P,O,O,O,P,P,O,O,O,P,X
X,O,O,O,O,P,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,P,O,O,O,P,O,O,O,O,O,X
X,O,O,O,O,O,O,O,P,P,P,P,O,O,O,P,P,P,P,P,P,O,O,P,O,O,O,P,O,O,O,O,O,X
X,P,P,O,O,O,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,P,O,O,O,P,P,P,P,O,O,X
X,O,O,O,O,O,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,P,O,O,O,P,O,O,O,O,O,X
X,O,O,O,O,O,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,P,O,O,O,P,O,O,O,O,O,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
